"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US1709","Congressional District 9 (116th Congress), Illinois","721481","15297"
"5001600US1710","Congressional District 10 (116th Congress), Illinois","711265","7485"
"5001600US1711","Congressional District 11 (116th Congress), Illinois","722584","10156"
"5001600US1712","Congressional District 12 (116th Congress), Illinois","687072","3605"
"5001600US1713","Congressional District 13 (116th Congress), Illinois","704211","7858"
"5001600US1714","Congressional District 14 (116th Congress), Illinois","742235","8939"
"5001600US1715","Congressional District 15 (116th Congress), Illinois","691196","5707"
"5001600US1716","Congressional District 16 (116th Congress), Illinois","684888","6443"
"5001600US1717","Congressional District 17 (116th Congress), Illinois","679926","6737"
"5001600US1718","Congressional District 18 (116th Congress), Illinois","700276","9229"
"5001600US1801","Congressional District 1 (116th Congress), Indiana","714756","2410"
"5001600US1802","Congressional District 2 (116th Congress), Indiana","723483","3644"
"5001600US1803","Congressional District 3 (116th Congress), Indiana","747060","2807"
"5001600US1804","Congressional District 4 (116th Congress), Indiana","768025","4477"
"5001600US1805","Congressional District 5 (116th Congress), Indiana","784462","8778"
"5001600US1806","Congressional District 6 (116th Congress), Indiana","719771","3009"
"5001600US1807","Congressional District 7 (116th Congress), Indiana","760466","7889"
"5001600US1808","Congressional District 8 (116th Congress), Indiana","718591","2360"
"5001600US1809","Congressional District 9 (116th Congress), Indiana","755264","4786"
"5001600US1901","Congressional District 1 (116th Congress), Iowa","773628","1621"
"5001600US1902","Congressional District 2 (116th Congress), Iowa","783983","1452"
"5001600US1903","Congressional District 3 (116th Congress), Iowa","843598","1452"
"5001600US1904","Congressional District 4 (116th Congress), Iowa","754936","1621"
"5001600US2001","Congressional District 1 (116th Congress), Kansas","698323","2077"
"5001600US2002","Congressional District 2 (116th Congress), Kansas","713845","2974"
"5001600US2003","Congressional District 3 (116th Congress), Kansas","775243","1987"
"5001600US2004","Congressional District 4 (116th Congress), Kansas","724099","1657"
"5001600US2101","Congressional District 1 (116th Congress), Kentucky","721124","3530"
"5001600US2102","Congressional District 2 (116th Congress), Kentucky","769850","4606"
"5001600US2103","Congressional District 3 (116th Congress), Kentucky","749110","3229"
"5001600US2104","Congressional District 4 (116th Congress), Kentucky","754387","4730"
"5001600US2105","Congressional District 5 (116th Congress), Kentucky","695105","4679"
"5001600US2106","Congressional District 6 (116th Congress), Kentucky","778826","5709"
"5001600US2201","Congressional District 1 (116th Congress), Louisiana","806638","9120"
"5001600US2202","Congressional District 2 (116th Congress), Louisiana","794121","10924"
"5001600US2203","Congressional District 3 (116th Congress), Louisiana","783545","2185"
"5001600US2204","Congressional District 4 (116th Congress), Louisiana","747314","3598"
"5001600US2205","Congressional District 5 (116th Congress), Louisiana","738249","5791"
"5001600US2206","Congressional District 6 (116th Congress), Louisiana","790111","10127"
"5001600US2301","Congressional District 1 (116th Congress), Maine","685535","3624"
"5001600US2302","Congressional District 2 (116th Congress), Maine","652869","3624"
"5001600US2401","Congressional District 1 (116th Congress), Maryland","741621","7408"
