TBLID,GEOID,GEONAME,ORDER,TITLE,ESTIMATE,MG_ERROR
B01003,05000US21117,"Kenton County, Kentucky",1,Total,"166,051",*****
B01003,05000US21145,"McCracken County, Kentucky",1,Total,"65,346",*****
B01003,05000US21151,"Madison County, Kentucky",1,Total,"92,368",*****
B01003,05000US21185,"Oldham County, Kentucky",1,Total,"66,470",*****
B01003,05000US21227,"Warren County, Kentucky",1,Total,"131,264",*****
B01003,05000US22005,"Ascension Parish, Louisiana",1,Total,"124,672",*****
B01003,05000US22015,"Bossier Parish, Louisiana",1,Total,"127,185",*****
B01003,05000US22017,"Caddo Parish, Louisiana",1,Total,"242,922",*****
B01003,05000US22019,"Calcasieu Parish, Louisiana",1,Total,"203,112",*****
B01003,05000US22033,"East Baton Rouge Parish, Louisiana",1,Total,"440,956",*****
B01003,05000US22045,"Iberia Parish, Louisiana",1,Total,"70,941",*****
B01003,05000US22051,"Jefferson Parish, Louisiana",1,Total,"434,051",*****
B01003,05000US22055,"Lafayette Parish, Louisiana",1,Total,"242,782",*****
B01003,05000US22057,"Lafourche Parish, Louisiana",1,Total,"98,115",*****
B01003,05000US22063,"Livingston Parish, Louisiana",1,Total,"139,567",*****
B01003,05000US22071,"Orleans Parish, Louisiana",1,Total,"391,006",*****
B01003,05000US22073,"Ouachita Parish, Louisiana",1,Total,"154,475",*****
B01003,05000US22079,"Rapides Parish, Louisiana",1,Total,"130,562",*****
B01003,05000US22097,"St. Landry Parish, Louisiana",1,Total,"82,764",*****
B01003,05000US22103,"St. Tammany Parish, Louisiana",1,Total,"258,111",*****
B01003,05000US22105,"Tangipahoa Parish, Louisiana",1,Total,"133,777",*****
B01003,05000US22109,"Terrebonne Parish, Louisiana",1,Total,"111,021",*****
B01003,05000US23001,"Androscoggin County, Maine",1,Total,"107,679",*****
B01003,05000US23003,"Aroostook County, Maine",1,Total,"67,111",*****
B01003,05000US23005,"Cumberland County, Maine",1,Total,"293,557",*****
B01003,05000US23011,"Kennebec County, Maine",1,Total,"122,083",*****
B01003,05000US23019,"Penobscot County, Maine",1,Total,"151,096",*****
B01003,05000US23031,"York County, Maine",1,Total,"206,229",*****
B01003,05000US24001,"Allegany County, Maryland",1,Total,"70,975",*****
B01003,05000US24003,"Anne Arundel County, Maryland",1,Total,"576,031",*****
B01003,05000US24005,"Baltimore County, Maryland",1,Total,"828,431",*****
B01003,05000US24009,"Calvert County, Maryland",1,Total,"92,003",*****
B01003,05000US24013,"Carroll County, Maryland",1,Total,"168,429",*****
B01003,05000US24015,"Cecil County, Maryland",1,Total,"102,826",*****
B01003,05000US24017,"Charles County, Maryland",1,Total,"161,503",*****
B01003,05000US24021,"Frederick County, Maryland",1,Total,"255,648",*****
B01003,05000US24025,"Harford County, Maryland",1,Total,"253,956",*****
B01003,05000US24027,"Howard County, Maryland",1,Total,"323,196",*****
B01003,05000US24031,"Montgomery County, Maryland",1,Total,"1,052,567",*****
B01003,05000US24033,"Prince George's County, Maryland",1,Total,"909,308",*****
B01003,05000US24037,"St. Mary's County, Maryland",1,Total,"112,664",*****
B01003,05000US24043,"Washington County, Maryland",1,Total,"150,926",*****
B01003,05000US24045,"Wicomico County, Maryland",1,Total,"103,195",*****
B01003,05000US24510,"Baltimore city, Maryland",1,Total,"602,495",*****
B01003,05000US25001,"Barnstable County, Massachusetts",1,Total,"213,413",*****
B01003,05000US25003,"Berkshire County, Massachusetts",1,Total,"126,348",*****
B01003,05000US25005,"Bristol County, Massachusetts",1,Total,"564,022",*****
B01003,05000US25009,"Essex County, Massachusetts",1,Total,"790,638",*****
B01003,05000US25011,"Franklin County, Massachusetts",1,Total,"70,963",*****
B01003,05000US25013,"Hampden County, Massachusetts",1,Total,"470,406",*****
B01003,05000US25015,"Hampshire County, Massachusetts",1,Total,"161,355",*****
B01003,05000US25017,"Middlesex County, Massachusetts",1,Total,"1,614,714",*****
B01003,05000US25021,"Norfolk County, Massachusetts",1,Total,"705,388",*****
B01003,05000US25023,"Plymouth County, Massachusetts",1,Total,"518,132",*****
B01003,05000US25025,"Suffolk County, Massachusetts",1,Total,"807,252",*****
B01003,05000US25027,"Worcester County, Massachusetts",1,Total,"830,839",*****
B01003,05000US26005,"Allegan County, Michigan",1,Total,"117,327",*****
B01003,05000US26017,"Bay County, Michigan",1,Total,"103,923",*****
B01003,05000US26021,"Berrien County, Michigan",1,Total,"154,141",*****
B01003,05000US26025,"Calhoun County, Michigan",1,Total,"134,487",*****
B01003,05000US26037,"Clinton County, Michigan",1,Total,"79,332",*****
B01003,05000US26045,"Eaton County, Michigan",1,Total,"109,826",*****
B01003,05000US26049,"Genesee County, Michigan",1,Total,"406,892",*****
B01003,05000US26055,"Grand Traverse County, Michigan",1,Total,"92,573",*****
B01003,05000US26065,"Ingham County, Michigan",1,Total,"292,735",*****
B01003,05000US26073,"Isabella County, Michigan",1,Total,"70,562",*****
B01003,05000US26075,"Jackson County, Michigan",1,Total,"158,823",*****
B01003,05000US26077,"Kalamazoo County, Michigan",1,Total,"264,870",*****
B01003,05000US26081,"Kent County, Michigan",1,Total,"653,786",*****
B01003,05000US26087,"Lapeer County, Michigan",1,Total,"88,028",*****
B01003,05000US26091,"Lenawee County, Michigan",1,Total,"98,266",*****
B01003,05000US26093,"Livingston County, Michigan",1,Total,"191,224",*****
B01003,05000US26099,"Macomb County, Michigan",1,Total,"874,759",*****
B01003,05000US26103,"Marquette County, Michigan",1,Total,"66,516",*****
B01003,05000US26111,"Midland County, Michigan",1,Total,"83,209",*****
B01003,05000US26115,"Monroe County, Michigan",1,Total,"150,439",*****
B01003,05000US26121,"Muskegon County, Michigan",1,Total,"173,588",*****
B01003,05000US26125,"Oakland County, Michigan",1,Total,"1,259,201",*****
B01003,05000US26139,"Ottawa County, Michigan",1,Total,"290,494",*****
B01003,05000US26145,"Saginaw County, Michigan",1,Total,"190,800",*****
B01003,05000US26147,"St. Clair County, Michigan",1,Total,"159,337",*****
B01003,05000US26155,"Shiawassee County, Michigan",1,Total,"68,192",*****
B01003,05000US26159,"Van Buren County, Michigan",1,Total,"75,448",*****
B01003,05000US26161,"Washtenaw County, Michigan",1,Total,"370,963",*****
B01003,05000US26163,"Wayne County, Michigan",1,Total,"1,753,893",*****
B01003,05000US27003,"Anoka County, Minnesota",1,Total,"353,813",*****
B01003,05000US27013,"Blue Earth County, Minnesota",1,Total,"67,427",*****
B01003,05000US27019,"Carver County, Minnesota",1,Total,"103,551",*****
B01003,05000US27037,"Dakota County, Minnesota",1,Total,"425,423",*****
B01003,05000US27053,"Hennepin County, Minnesota",1,Total,"1,259,428",*****
B01003,05000US27109,"Olmsted County, Minnesota",1,Total,"156,277",*****
B01003,05000US27123,"Ramsey County, Minnesota",1,Total,"550,210",*****
B01003,05000US27131,"Rice County, Minnesota",1,Total,"66,523",*****
B01003,05000US27137,"St. Louis County, Minnesota",1,Total,"199,754",*****
B01003,05000US27139,"Scott County, Minnesota",1,Total,"147,381",*****
B01003,05000US27141,"Sherburne County, Minnesota",1,Total,"96,036",*****
B01003,05000US27145,"Stearns County, Minnesota",1,Total,"159,256",*****
B01003,05000US27163,"Washington County, Minnesota",1,Total,"259,201",*****
B01003,05000US27171,"Wright County, Minnesota",1,Total,"136,349",*****
B01003,05000US28033,"DeSoto County, Mississippi",1,Total,"182,001",*****
B01003,05000US28035,"Forrest County, Mississippi",1,Total,"75,036",*****
B01003,05000US28047,"Harrison County, Mississippi",1,Total,"206,650",*****
B01003,05000US28049,"Hinds County, Mississippi",1,Total,"237,085",*****
B01003,05000US28059,"Jackson County, Mississippi",1,Total,"143,277",*****
B01003,05000US28067,"Jones County, Mississippi",1,Total,"68,461",*****
B01003,05000US28075,"Lauderdale County, Mississippi",1,Total,"75,317",*****
B01003,05000US28081,"Lee County, Mississippi",1,Total,"85,202",*****
B01003,05000US28089,"Madison County, Mississippi",1,Total,"105,630",*****
B01003,05000US28121,"Rankin County, Mississippi",1,Total,"153,902",*****
B01003,05000US29019,"Boone County, Missouri",1,Total,"180,005",*****
B01003,05000US29021,"Buchanan County, Missouri",1,Total,"88,571",*****
B01003,05000US29031,"Cape Girardeau County, Missouri",1,Total,"78,753",*****
B01003,05000US29037,"Cass County, Missouri",1,Total,"104,954",*****
B01003,05000US29043,"Christian County, Missouri",1,Total,"86,983",*****
B01003,05000US29047,"Clay County, Missouri",1,Total,"246,365",*****
B01003,05000US29051,"Cole County, Missouri",1,Total,"76,796",*****
B01003,05000US29071,"Franklin County, Missouri",1,Total,"103,670",*****
B01003,05000US29077,"Greene County, Missouri",1,Total,"291,923",*****
B01003,05000US29095,"Jackson County, Missouri",1,Total,"700,307",*****
